ID,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup
197,GP,M,17,U,GT3,T,4,4,services,teacher,home,mother,1,1,0,no,no
198,GP,M,16,R,LE3,T,3,3,teacher,other,home,father,3,1,0,no,yes
199,GP,F,17,U,GT3,T,4,4,services,teacher,home,mother,2,1,1,no,yes
200,GP,F,16,U,LE3,T,4,4,teacher,teacher,reputation,mother,1,2,0,no,yes
201,GP,F,16,U,GT3,T,4,3,health,other,home,mother,1,2,0,no,yes
202,GP,F,16,U,GT3,T,2,3,other,other,reputation,mother,1,2,0,yes,yes
203,GP,F,17,U,GT3,T,1,1,other,other,course,mother,1,2,0,no,yes
204,GP,F,17,R,GT3,T,2,2,other,other,reputation,mother,1,1,0,no,yes
205,GP,F,16,R,GT3,T,2,2,services,services,reputation,mother,2,4,0,no,yes
206,GP,F,17,U,GT3,T,3,4,at_home,services,home,mother,1,3,1,no,yes
207,GP,F,16,U,GT3,A,3,1,services,other,course,mother,1,2,3,no,yes
208,GP,F,16,U,GT3,T,4,3,teacher,other,other,mother,1,2,0,no,no
209,GP,F,16,U,GT3,T,1,1,at_home,other,home,mother,2,1,0,no,yes
210,GP,F,17,R,GT3,T,4,3,teacher,other,reputation,mother,2,3,0,no,yes
211,GP,F,19,U,GT3,T,3,3,other,other,reputation,other,1,4,0,no,yes
212,GP,M,17,U,LE3,T,4,4,services,other,home,mother,1,2,0,no,yes
213,GP,F,16,U,GT3,A,2,2,other,other,reputation,mother,1,2,0,yes,yes
214,GP,M,18,U,GT3,T,2,2,services,other,home,mother,1,2,1,no,yes
215,GP,F,17,R,LE3,T,4,4,services,other,other,mother,1,1,0,no,yes
216,GP,F,17,U,LE3,T,3,2,other,other,reputation,mother,2,2,0,no,no
217,GP,F,17,U,GT3,T,4,3,other,other,reputation,mother,1,2,2,no,no
218,GP,M,18,U,LE3,T,3,3,services,health,home,father,1,2,1,no,yes
219,GP,F,17,U,GT3,T,2,3,at_home,other,home,father,2,1,0,no,yes
220,GP,F,17,U,GT3,T,2,2,at_home,at_home,course,mother,1,3,0,no,yes
221,GP,F,17,R,GT3,T,2,1,at_home,services,reputation,mother,2,2,0,no,yes
222,GP,F,17,U,GT3,T,1,1,at_home,other,reputation,mother,1,3,1,no,yes
223,GP,F,16,U,GT3,T,2,3,services,teacher,other,mother,1,2,0,yes,no
224,GP,M,18,U,GT3,T,2,2,other,other,home,mother,2,2,0,no,yes
225,GP,F,16,U,GT3,T,4,4,teacher,services,home,mother,1,3,0,no,yes
226,GP,F,18,R,GT3,T,3,1,other,other,reputation,mother,1,2,1,no,no
227,GP,F,17,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,no
228,GP,M,17,U,LE3,T,2,3,services,services,reputation,father,1,2,0,no,yes
229,GP,M,18,U,LE3,T,2,1,at_home,other,course,mother,4,2,0,yes,yes
230,GP,F,17,U,GT3,A,2,1,other,other,course,mother,2,3,0,no,no
231,GP,F,17,U,LE3,T,4,3,health,other,reputation,father,1,2,0,no,no
232,GP,M,17,R,GT3,T,2,2,other,other,course,father,2,2,0,no,yes
233,GP,M,17,U,GT3,T,4,4,teacher,teacher,reputation,mother,1,2,0,yes,yes
234,GP,M,16,U,GT3,T,4,4,health,other,reputation,father,1,2,0,no,yes
235,GP,M,16,U,LE3,T,1,1,other,other,home,mother,2,2,0,no,yes
236,GP,M,16,U,GT3,T,3,2,at_home,other,reputation,mother,2,3,0,no,no
237,GP,M,17,U,LE3,T,2,2,other,other,home,father,1,2,0,no,no
238,GP,F,16,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,no
239,GP,F,17,R,GT3,T,2,1,at_home,services,course,mother,3,2,0,no,no
240,GP,M,18,U,GT3,T,2,2,other,services,reputation,father,1,2,1,no,no
241,GP,M,17,U,LE3,T,4,3,health,other,course,mother,2,2,0,no,no
242,GP,M,17,R,LE3,A,4,4,teacher,other,course,mother,2,2,0,no,yes
243,GP,M,16,U,LE3,T,4,3,teacher,other,course,mother,1,1,0,no,no
244,GP,M,16,U,GT3,T,4,4,services,services,course,mother,1,1,0,no,no
245,GP,F,18,U,GT3,T,2,1,other,other,course,other,2,3,0,no,yes
246,GP,M,16,U,GT3,T,2,1,other,other,course,mother,3,1,0,no,no
247,GP,M,17,U,GT3,T,2,3,other,other,course,father,2,1,0,no,no
248,GP,M,22,U,GT3,T,3,1,services,services,other,mother,1,1,3,no,no
249,GP,M,18,Rural,LE3,T,3,3,other,services,course,mother,1,2,1,no,yes
250,GP,M,16,U,GT3,T,0,2,other,other,other,mother,1,1,0,no,no
251,GP,M,18,U,GT3,T,3,2,services,other,course,mother,2,1,1,no,no
252,GP,M,16,U,GT3,T,3,3,at_home,other,reputation,other,3,2,0,yes,yes
253,GP,M,18,U,GT3,T,2,1,services,services,,mother,1,1,1,no,no
254,GP,M,16,R,GT3,T,2,1,other,other,course,mother,2,1,0,no,no
255,GP,M,17,R,GT3,T,2,1,other,other,course,mother,1,1,0,no,no
256,GP,M,17,U,LE3,T,1,1,health,other,course,mother,2,1,1,no,yes
257,GP,F,17,U,LE3,T,4,2,teacher,services,reputation,mother,1,4,0,no,yes
258,GP,M,19,U,LE3,A,4,3,services,at_home,reputation,mother,1,2,0,no,yes
259,GP,M,18,U,GT3,T,2,1,other,other,home,mother,1,2,0,no,no
260,GP,F,17,U,LE3,T,2,2,services,services,course,father,1,4,0,no,no
261,GP,F,18,U,GT3,T,4,3,services,other,home,father,1,2,0,no,yes
262,GP,M,18,U,GT3,T,4,3,teacher,other,course,mother,1,2,0,no,yes
263,GP,M,18,R,GT3,T,3,2,other,other,course,mother,1,3,0,no,no
264,GP,F,17,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,no
265,GP,F,18,U,GT3,T,2,2,at_home,services,home,mother,1,3,0,no,yes
266,GP,M,18,R,LE3,A,3,4,other,other,reputation,mother,2,2,0,no,yes
267,GP,M,17,U,GT3,T,3,1,services,other,other,mother,1,2,0,no,no
268,GP,F,18,R,GT3,T,4,4,teacher,other,reputation,mother,2,2,0,no,no
269,GP,M,18,U,GT3,T,4,2,health,other,reputation,father,1,2,0,no,yes
270,GP,F,18,R,GT3,T,2,1,other,other,reputation,mother,2,2,0,no,yes
271,GP,F,19,U,GT3,T,3,3,other,services,home,other,1,2,2,no,yes
272,GP,F,18,U,GT3,T,2,3,other,services,reputation,father,1,4,0,no,yes
273,GP,F,18,U,LE3,T,1,1,other,other,home,mother,2,2,0,no,yes
274,GP,M,17,R,GT3,T,1,2,at_home,at_home,home,mother,1,2,0,no,yes
275,GP,F,17,U,GT3,T,2,4,at_home,health,reputation,mother,2,2,0,no,yes
276,GP,F,17,U,LE3,T,2,2,services,other,course,mother,2,2,0,yes,yes
277,GP,F,18,R,GT3,A,3,2,other,services,home,mother,2,2,0,no,no
278,GP,M,18,U,GT3,T,4,4,teacher,services,home,mother,2,1,0,no,no
279,GP,F,18,U,GT3,T,4,4,health,health,reputation,father,1,2,1,yes,yes
280,GP,M,18,U,LE3,T,4,3,teacher,services,course,mother,2,1,0,no,no
281,GP,M,17,U,LE3,A,4,1,services,other,home,mother,2,1,0,no,no
282,GP,M,17,U,LE3,A,3,2,teacher,services,home,mother,1,1,1,no,no
283,GP,F,18,R,LE3,T,1,1,at_home,other,reputation,mother,2,4,0,no,yes
284,GP,F,18,U,GT3,T,1,1,other,other,home,mother,2,2,0,yes,no
285,GP,F,17,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes
286,GP,M,17,U,GT3,T,1,1,other,other,reputation,father,1,2,0,no,no
287,GP,F,18,U,GT3,T,2,2,at_home,at_home,other,mother,1,3,0,no,yes
288,GP,F,17,U,GT3,T,1,1,services,teacher,reputation,mother,1,3,0,no,yes
289,GP,M,18,U,GT3,T,2,1,services,services,reputation,mother,1,3,0,no,no
290,GP,M,18,U,LE3,A,4,4,teacher,teacher,reputation,mother,1,2,0,no,yes
291,GP,M,18,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes
292,GP,F,17,U,GT3,T,4,3,health,services,reputation,mother,1,3,0,no,yes
293,GP,F,18,U,LE3,T,2,1,services,at_home,reputation,mother,1,2,1,no,no
294,GP,F,17,R,LE3,T,3,1,services,other,reputation,mother,2,4,0,no,yes
295,GP,M,18,R,LE3,T,3,2,services,other,reputation,mother,2,3,0,no,yes
296,GP,M,17,U,GT3,T,3,3,health,other,home,mother,1,1,0,no,yes
297,GP,F,19,U,GT3,T,4,4,health,other,reputation,other,2,2,0,no,yes
298,GP,F,18,U,LE3,T,4,3,other,other,home,other,2,2,0,no,yes
299,GP,F,18,U,GT3,T,4,3,other,other,reputation,father,1,4,0,no,yes
300,GP,M,18,U,LE3,T,4,4,teacher,teacher,home,mother,1,1,0,no,yes
301,GP,F,18,U,LE3,A,4,4,health,other,home,mother,1,2,0,no,yes
302,GP,M,17,U,LE3,T,4,4,other,teacher,home,father,2,1,0,no,no
303,GP,F,17,U,GT3,T,4,2,other,other,reputation,mother,2,3,0,no,yes
304,GP,F,17,U,GT3,T,3,2,health,health,reputation,father,1,4,0,no,yes
305,GP,M,19,U,GT3,T,3,3,other,other,home,other,1,2,1,no,yes
306,GP,F,18,U,GT3,T,2,4,services,at_home,reputation,other,1,2,1,no,yes
307,GP,M,20,U,GT3,A,3,2,services,other,course,other,1,1,0,no,no
308,GP,M,19,U,GT3,T,4,4,teacher,services,reputation,other,2,1,1,no,yes
309,GP,M,19,R,GT3,T,3,3,other,services,reputation,father,1,2,1,no,no
310,GP,F,19,U,LE3,T,1,1,at_home,other,reputation,other,1,2,1,yes,yes
311,GP,F,19,U,LE3,T,1,2,services,services,home,other,1,2,1,no,no
312,GP,F,19,U,GT3,T,2,1,at_home,other,other,other,3,2,0,no,yes
313,GP,M,19,U,GT3,T,1,2,other,services,course,other,1,2,1,no,no
314,GP,F,19,U,LE3,T,3,2,services,other,reputation,other,2,2,1,no,yes
315,GP,F,19,U,GT3,T,1,1,at_home,health,home,other,1,3,2,no,no
316,GP,F,19,R,GT3,T,2,3,other,other,reputation,other,1,3,1,no,no
317,GP,F,18,U,GT3,T,2,1,services,other,course,mother,2,2,0,no,yes
318,GP,F,18,U,GT3,T,4,3,other,other,course,mother,1,3,0,no,yes
319,GP,F,17,R,GT3,T,3,4,at_home,services,course,father,1,3,0,no,yes
320,GP,F,18,U,GT3,T,4,4,teacher,other,course,mother,1,2,0,no,yes
321,GP,F,17,U,GT3,A,4,3,services,services,course,mother,1,2,0,no,yes
322,GP,F,17,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes
323,GP,F,17,R,LE3,T,2,2,services,services,course,mother,1,3,0,no,yes
324,GP,F,17,U,GT3,T,3,1,services,services,course,father,1,3,0,no,yes
325,GP,F,17,U,LE3,T,0,2,at_home,at_home,home,father,2,3,0,no,no
326,GP,M,18,U,GT3,T,4,4,other,other,course,mother,1,3,0,no,no
327,GP,M,17,U,GT3,T,3,3,other,services,reputation,mother,1,1,0,no,no
328,GP,M,17,R,GT3,T,2,2,services,other,course,mother,4,1,0,no,yes
329,GP,F,17,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes
330,GP,F,17,U,GT3,T,4,4,teacher,teacher,course,mother,2,3,0,no,yes
331,GP,M,18,U,LE3,T,2,2,other,other,course,mother,1,4,0,no,yes
332,GP,F,17,R,GT3,T,2,4,at_home,other,course,father,1,3,0,no,yes
333,GP,F,18,U,GT3,T,3,3,services,services,home,mother,1,2,0,no,no
334,GP,F,18,U,LE3,T,2,2,other,other,home,other,1,2,0,no,no
335,GP,F,18,R,GT3,T,2,2,at_home,other,course,mother,2,4,0,no,no
336,GP,F,17,U,GT3,T,3,4,services,other,course,mother,1,3,0,no,no
337,GP,F,19,R,GT3,A,3,1,services,at_home,home,other,1,3,1,no,no
338,GP,F,17,U,GT3,T,3,2,other,other,home,mother,1,2,0,no,yes
339,GP,F,18,U,LE3,T,3,3,services,services,home,mother,1,4,0,no,yes
340,GP,F,17,R,GT3,A,3,2,other,other,home,mother,1,2,0,no,yes
341,GP,F,19,U,GT3,T,2,1,services,services,home,other,1,3,1,no,no
342,GP,M,18,U,GT3,T,4,4,teacher,services,home,father,1,2,1,no,yes
343,GP,M,18,U,LE3,T,3,4,services,other,home,mother,1,2,0,no,no
344,GP,F,17,U,GT3,A,2,2,at_home,at_home,home,father,1,2,1,no,yes
345,GP,F,18,U,GT3,T,2,3,at_home,other,course,mother,1,3,0,no,yes
346,GP,F,18,U,GT3,T,3,2,other,services,other,mother,1,3,0,no,no
347,GP,M,18,R,GT3,T,4,3,teacher,services,course,mother,1,3,0,no,no
348,GP,M,18,U,GT3,T,4,3,teacher,other,course,mother,1,3,0,no,yes
349,GP,F,17,Urban,GT3,T,4,3,health,other,reputation,mother,1,3,0,no,yes
350,MS,M,18,R,GT3,T,3,2,other,other,course,mother,2,1,1,no,yes
351,MS,M,19,R,GT3,T,1,1,other,services,home,other,3,2,3,no,no
352,MS,M,17,U,GT3,T,3,3,health,other,course,mother,2,2,0,no,yes
353,MS,M,18,U,LE3,T,1,3,at_home,services,course,mother,1,1,1,no,no
354,MS,M,19,R,GT3,T,1,1,other,other,home,other,3,1,1,no,yes
355,MS,M,17,R,GT3,T,4,3,services,other,home,mother,2,2,0,no,yes
356,MS,F,18,U,GT3,T,3,3,services,services,course,father,1,2,0,no,yes
357,MS,F,17,R,GT3,T,4,4,teacher,services,other,father,2,2,0,no,yes
358,MS,F,17,U,LE3,A,3,2,services,other,reputation,mother,2,2,0,no,no
359,MS,M,18,U,LE3,T,1,1,other,services,home,father,2,1,0,no,no
360,MS,F,18,U,LE3,T,1,1,at_home,services,course,father,2,3,0,no,no
361,MS,F,18,R,LE3,A,1,4,at_home,other,course,mother,3,2,0,no,no
362,MS,M,18,R,LE3,T,1,1,at_home,other,other,mother,2,2,1,no,no
363,MS,F,18,U,GT3,T,3,3,services,services,other,mother,2,2,0,no,yes
364,MS,F,17,U,LE3,T,4,4,at_home,at_home,course,mother,1,2,0,no,yes
365,MS,F,17,R,GT3,T,1,2,other,services,course,father,2,2,0,no,no
366,MS,M,18,R,GT3,T,1,3,at_home,other,course,mother,2,2,0,no,yes
367,MS,M,18,U,LE3,T,4,4,teacher,services,other,mother,2,3,0,no,no
368,MS,F,17,R,GT3,T,1,1,other,services,reputation,mother,3,1,1,no,yes
369,MS,F,18,U,GT3,T,2,3,at_home,services,course,father,2,1,0,no,yes
370,MS,F,18,R,GT3,T,4,4,other,teacher,other,father,3,2,0,no,yes
371,MS,F,19,U,LE3,T,3,2,services,services,home,other,2,2,2,no,no
372,MS,M,18,R,LE3,T,1,2,at_home,services,other,father,3,1,0,no,yes
373,MS,F,17,U,GT3,T,2,2,other,at_home,home,mother,1,3,0,no,no
374,MS,F,17,R,GT3,T,1,2,other,other,course,mother,1,1,0,no,no
375,MS,F,18,R,LE3,T,4,4,other,other,reputation,mother,2,3,0,no,no
376,MS,F,18,R,GT3,T,1,1,other,other,home,mother,4,3,0,no,no
377,MS,F,20,U,GT3,T,4,2,health,other,course,other,2,3,2,no,yes
378,MS,F,18,R,LE3,T,4,4,teacher,services,course,mother,1,2,0,no,no
379,MS,F,18,U,GT3,T,3,3,other,other,home,mother,1,2,0,no,no
380,MS,F,17,R,GT3,T,3,1,at_home,other,reputation,mother,1,2,0,no,yes
381,MS,M,18,U,GT3,T,4,4,teacher,teacher,home,father,1,2,0,no,no
382,MS,M,18,R,GT3,T,2,1,other,other,other,mother,2,1,0,no,no
383,MS,M,17,U,GT3,T,2,3,other,services,home,father,2,2,0,no,no
384,MS,M,19,R,GT3,T,1,1,other,services,other,mother,2,1,1,no,no
385,MS,M,18,R,GT3,T,4,2,other,other,home,father,2,1,1,no,no
386,MS,F,18,R,GT3,T,2,2,at_home,other,other,mother,2,3,0,no,no
387,MS,F,18,R,GT3,T,4,4,teacher,at_home,reputation,mother,3,1,0,no,yes
388,MS,F,19,R,GT3,T,2,3,services,other,course,mother,1,3,1,no,no
389,MS,F,18,U,LE3,T,3,1,teacher,services,course,mother,1,2,0,no,yes
390,MS,F,18,U,GT3,T,1,1,other,other,course,mother,2,2,1,no,no
391,MS,M,20,U,LE3,A,2,2,services,services,course,other,1,2,2,no,yes
392,MS,M,17,U,LE3,T,3,1,services,services,course,mother,2,1,0,no,no
393,MS,M,21,R,GT4,T,1,1,other,other,course,other,1,1,3,no,no
394,MS,M,18,R,LE3,T,3,2,services,other,course,mother,3,1,0,no,no
395,MS,M,19,U,LE3,T,1,1,other,at_home,course,fathar,1,1,0,no,no
